     title,             KiB,             MiB,             GiB,          n,          r,             min,             max,            mean,                 stddev (%),      MiB/s
       IJK,234.375,0.229,0,100,50,1057835.32,1114380.58,1065639.943,       11655.448 ( 1.094 %),71.594
       IKJ,234.375,0.229,0,100,50,344752.16,366074.32,347022.859,        3702.205 ( 1.067 %),219.853
       IEX,234.375,0.229,0,100,50,262320,265521.1,263415.055,         933.280 ( 0.354 %),289.634
    UNROLL,234.375,0.229,0,100,50,320510.52,342915.96,323581.265,        4895.389 ( 1.513 %),235.78
     CBLAS,234.375,0.229,0,100,50,258512.18,280992.38,261228.398,        4551.548 ( 1.742 %),292.058
  UNROLLX8,234.375,0.229,0,100,50,313521.76,327912.1,316597.5,        2700.583 ( 0.853 %),240.981
