     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     1057835.320;     1114380.580;     1065639.943;       11655.448 ( 1.094 %);     71.594
       IKJ;         234.375;           0.229;           0.000;        100;         50;      344752.160;      366074.320;      347022.859;        3702.205 ( 1.067 %);    219.853
       IEX;         234.375;           0.229;           0.000;        100;         50;      262320.000;      265521.100;      263415.055;         933.280 ( 0.354 %);    289.634
    UNROLL;         234.375;           0.229;           0.000;        100;         50;      320510.520;      342915.960;      323581.265;        4895.389 ( 1.513 %);    235.780
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      258512.180;      280992.380;      261228.398;        4551.548 ( 1.742 %);    292.058
  UNROLLX8;         234.375;           0.229;           0.000;        100;         50;      313521.760;      327912.100;      316597.500;        2700.583 ( 0.853 %);    240.981
