     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1115.933;          82.760;          84.820;          83.036;           0.343 ( 0.413 %);   9188.083
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;         488.863;          27.720;          29.640;          27.841;           0.326 ( 1.172 %);  27403.241
