     title,             KiB,             MiB,             GiB,          n,          r,             min,             max,            mean,                 stddev (%),      MiB/s
       IJK,234.375,0.229,0,100,50,966102.52,996476.42,971631.938,        6654.551 ( 0.685 %),78.521
       IKJ,234.375,0.229,0,100,50,304671.4,317376.48,308812.361,        2185.922 ( 0.708 %),247.056
       IEX,234.375,0.229,0,100,50,306835.58,320406.68,308910.997,        2578.981 ( 0.835 %),246.977
    UNROLL,234.375,0.229,0,100,50,502343.56,522596.04,506941.268,        4781.535 ( 0.943 %),150.499
     CBLAS,234.375,0.229,0,100,50,258890.34,265068.94,260070.202,        1406.579 ( 0.541 %),293.359
  UNROLLX8,234.375,0.229,0,100,50,506193.66,527576.84,511910.546,        6179.550 ( 1.207 %),149.038
