     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1952.690;          99.540;         104.720;         100.133;           0.878 ( 0.877 %);   7619.236
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;       10983.564;          48.940;          50.640;          49.106;           0.286 ( 0.583 %);  15536.564
