     title,             KiB,             MiB,             GiB,          n,          r,               d,             min,             max,            mean,                 stddev (%),      MiB/s
      BASE,1.562,0.002,0,100,50,995.81,85.16,86.86,85.459,           0.300 ( 0.351 %),8927.508
  UNROLLX8,1.562,0.002,0,100,50,766.398,27.9,60.72,38.789,          11.473 ( 29.578 %),19668.918
