     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     1056986.380;     1339678.220;     1074118.449;       49043.917 ( 4.566 %);     71.029
       IKJ;         234.375;           0.229;           0.000;        100;         50;      734851.360;      748377.120;      738181.586;        3213.636 ( 0.435 %);    103.354
       IEX;         234.375;           0.229;           0.000;        100;         50;      747692.280;      771659.420;      754769.439;        5687.165 ( 0.753 %);    101.082
    UNROLL;         234.375;           0.229;           0.000;        100;         50;      531604.720;      548136.520;      536203.649;        3208.992 ( 0.598 %);    142.285
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      257907.440;      273576.600;      260524.370;        3040.211 ( 1.167 %);    292.848
  UNROLLX8;         234.375;           0.229;           0.000;        100;         50;      567774.580;      586701.860;      570433.872;        3555.036 ( 0.623 %);    133.747
