     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1078.213;          81.320;          84.240;          81.824;           0.562 ( 0.687 %);   9324.125
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;         531.894;          52.580;          54.060;          52.845;           0.256 ( 0.485 %);  14437.182
