     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;     1055268.880;     1114112.500;     1065042.804;       12463.757 ( 1.170 %);     71.635
       IKJ;         234.375;           0.229;           0.000;        100;         50;      681394.840;      957971.880;      702165.183;       57479.265 ( 8.186 %);    108.655
       IEX;         234.375;           0.229;           0.000;        100;         50;      740790.800;      768811.120;      745019.543;        5848.782 ( 0.785 %);    102.405
    UNROLL;         234.375;           0.229;           0.000;        100;         50;      531872.980;      554941.740;      535509.376;        4819.042 ( 0.900 %);    142.470
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      258610.000;      270599.580;      260626.262;        2433.674 ( 0.934 %);    292.733
  UNROLLX8;         234.375;           0.229;           0.000;        100;         50;      566110.840;      583238.520;      569732.313;        3822.410 ( 0.671 %);    133.912
