     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        2507.630;         102.760;         105.140;         103.047;           0.400 ( 0.388 %);   7403.825
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        2814.706;          47.340;          49.240;          47.625;           0.313 ( 0.657 %);  16019.573
