     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        4149.173;         103.140;         105.560;         103.409;           0.410 ( 0.397 %);   7377.876
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        2036.020;          47.200;          49.000;          47.399;           0.299 ( 0.630 %);  16096.181
