     title,             KiB,             MiB,             GiB,          n,          r,               d,             min,             max,            mean,                 stddev (%),      MiB/s
      BASE,1.562,0.002,0,100,50,4149.173,103.14,105.56,103.409,           0.410 ( 0.397 %),7377.876
  UNROLLX8,1.562,0.002,0,100,50,2036.02,47.2,49,47.399,           0.299 ( 0.630 %),16096.181
