     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         593.263;          75.920;          78.280;          76.258;           0.388 ( 0.509 %);  10004.690
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;         883.924;          27.100;          29.780;          27.256;           0.455 ( 1.670 %);  27991.864
