     title,             KiB,             MiB,             GiB,          n,          r,               d,             min,             max,            mean,                 stddev (%),      MiB/s
      BASE,1.562,0.002,0,100,50,593.263,75.92,78.28,76.258,           0.388 ( 0.509 %),10004.69
  UNROLLX8,1.562,0.002,0,100,50,883.924,27.1,29.78,27.256,           0.455 ( 1.670 %),27991.864
