     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         600.111;          76.280;          79.200;          76.552;           0.488 ( 0.638 %);   9966.353
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        5542.853;          27.160;          32.740;          27.423;           0.956 ( 3.485 %);  27821.121
