     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         758.957;          83.300;          86.260;          83.552;           0.495 ( 0.593 %);   9131.366
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        1440.426;          27.660;          29.700;          27.883;           0.333 ( 1.195 %);  27362.143
