     title,             KiB,             MiB,             GiB,          n,          r,             min,             max,            mean,                 stddev (%),      MiB/s
       IJK,234.375,0.229,0,100,50,1050504.06,1131223.22,1066580.052,       17982.512 ( 1.686 %),71.531
       IKJ,234.375,0.229,0,100,50,579909.72,652714.04,598182.421,       19326.862 ( 3.231 %),127.543
       IEX,234.375,0.229,0,100,50,578176.34,616994.24,591849.797,       12317.699 ( 2.081 %),128.908
    UNROLL,234.375,0.229,0,100,50,521822.14,553276.52,525937.899,        6437.153 ( 1.224 %),145.063
     CBLAS,234.375,0.229,0,100,50,258127.78,274590.04,260129.996,        2863.144 ( 1.101 %),293.292
  UNROLLX8,234.375,0.229,0,100,50,568489.7,660500.34,587581.683,       24736.166 ( 4.210 %),129.844
