     title,             KiB,             MiB,             GiB,          n,          r,               d,             min,             max,            mean,                 stddev (%),      MiB/s
      BASE,1.562,0.002,0,100,50,10273.222,103.52,105.28,103.803,           0.298 ( 0.287 %),7349.877
  UNROLLX8,1.562,0.002,0,100,50,2994.873,47.84,49.7,48.055,           0.308 ( 0.641 %),15876.33
