     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;       10273.222;         103.520;         105.280;         103.803;           0.298 ( 0.287 %);   7349.877
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        2994.873;          47.840;          49.700;          48.055;           0.308 ( 0.641 %);  15876.330
