     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        5448.709;          99.780;         103.560;         100.163;           0.627 ( 0.626 %);   7616.977
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        3540.713;          48.860;          50.920;          49.072;           0.340 ( 0.693 %);  15547.309
