     title,             KiB,             MiB,             GiB,          n,          r,               d,             min,             max,            mean,                 stddev (%),      MiB/s
      BASE,1.562,0.002,0,100,50,118580.968,85.42,88.86,85.804,           0.582 ( 0.678 %),8891.629
  UNROLLX8,1.562,0.002,0,100,50,2179.319,99.92,108.1,100.563,           1.365 ( 1.358 %),7586.679
