     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;      118580.968;          85.420;          88.860;          85.804;           0.582 ( 0.678 %);   8891.629
  UNROLLX8;           1.562;           0.002;           0.000;        100;         50;        2179.319;          99.920;         108.100;         100.563;           1.365 ( 1.358 %);   7586.679
