     title,             KiB,             MiB,             GiB,          n,          r,             min,             max,            mean,                 stddev (%),      MiB/s
       IJK,234.375,0.229,0,100,50,961554.88,1024997.62,969575.873,       13486.839 ( 1.391 %),78.688
       IKJ,234.375,0.229,0,100,50,306099.28,332017.84,309376.965,        4340.484 ( 1.403 %),246.605
       IEX,234.375,0.229,0,100,50,305953.92,326126.04,309954.644,        3601.320 ( 1.162 %),246.146
    UNROLL,234.375,0.229,0,100,50,493444.22,524655.3,496843.352,        5813.385 ( 1.170 %),153.557
     CBLAS,234.375,0.229,0,100,50,258399.44,280169.8,261837.358,        5115.324 ( 1.954 %),291.379
  UNROLLX8,234.375,0.229,0,100,50,505287.36,535039.26,511136.189,        6357.554 ( 1.244 %),149.263
