     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         50;      961554.880;     1024997.620;      969575.873;       13486.839 ( 1.391 %);     78.688
       IKJ;         234.375;           0.229;           0.000;        100;         50;      306099.280;      332017.840;      309376.965;        4340.484 ( 1.403 %);    246.605
       IEX;         234.375;           0.229;           0.000;        100;         50;      305953.920;      326126.040;      309954.644;        3601.320 ( 1.162 %);    246.146
    UNROLL;         234.375;           0.229;           0.000;        100;         50;      493444.220;      524655.300;      496843.352;        5813.385 ( 1.170 %);    153.557
     CBLAS;         234.375;           0.229;           0.000;        100;         50;      258399.440;      280169.800;      261837.358;        5115.324 ( 1.954 %);    291.379
  UNROLLX8;         234.375;           0.229;           0.000;        100;         50;      505287.360;      535039.260;      511136.189;        6357.554 ( 1.244 %);    149.263
